Name,State_Born,Batting_Avg,Innings_Pitched,Games,Starts,Strikeouts,Earned_Runs,Walks_Allowed,Hit_Batters,Int_Walks,Hits,Homeruns_Allowed
Keith Hessler,DC,0.28,30,33,0,21,18,15,0,3,35,6
Ken Giles,NM,0.218,344,353,0,472,103,106,5,5,278,26
Kendall Graveman,AL,0.283,440,78,78,282,215,130,17,3,480,58
Kenny Roberts,TN,0.333,9,9,0,5,6,2,1,0,13,0
Keone Kela,CA,0.195,212,228,0,263,77,82,5,3,157,22
Kerry Wood,TX,0.232,105,112,0,112,43,61,8,6,88,10
Kevin Chapman,FL,0.264,54,58,0,48,25,31,1,2,54,5
Kevin Correia,CA,0.301,831,155,142,475,445,242,17,11,949,112
Kevin Gausman,CO,0.264,922,191,154,855,442,280,25,8,964,130
Kevin Ginkel,CA,0.174,24,25,0,28,4,9,0,0,15,2
Kevin Gregg,OR,0.268,242,251,0,224,122,136,7,9,237,28
Kevin Jepsen,CA,0.26,351,406,0,318,151,146,9,20,329,35
Kevin McCarthy,NY,0.284,185,164,0,118,78,59,4,8,199,16
Kevin McGowan,NH,0.235,8,8,0,8,5,6,0,0,8,2
Kevin Millwood,NC,0.279,405,68,68,275,208,129,9,5,449,52
Kevin Quackenbush,FL,0.265,206,203,0,186,101,82,4,10,194,24
Kevin Shackelford,NC,0.318,38,31,0,45,23,17,4,1,43,6
Kevin Siegrist,NY,0.211,243,276,0,286,83,116,8,7,183,25
Kevin Slowey,TX,0.311,343,81,52,250,185,61,13,1,409,46
Keynan Middleton,OR,0.217,82,91,0,85,30,34,1,3,78,12
Keyvius Sampson,FL,0.279,91,31,14,84,57,53,2,2,107,16
Kip Wells,TX,0.283,37,7,7,19,19,20,1,1,41,6
Kirby Yates,HI,0.224,275,284,0,391,103,90,21,7,221,37
Koda Glover,OK,0.228,54,63,0,42,28,21,1,2,48,5
Kohl Stewart,TX,0.268,61,17,6,34,33,26,4,0,63,6
Kolby Allard,CA,0.372,53,12,10,36,36,23,3,0,71,6
Kris Benson,GA,0.305,14,3,3,8,8,6,1,0,18,2
Kris Johnson,CA,0.308,23,7,4,21,14,13,1,1,29,2
Kris Medlen,CA,0.259,524,134,71,418,183,129,13,2,491,45
Kyle Barraclough,CA,0.203,250,270,0,319,99,155,11,11,188,24
Kyle Bird,FL,0.229,12,12,0,10,11,15,2,0,11,5
Kyle Crick,TX,0.206,141,146,0,154,54,75,15,5,108,15
Kyle Crockett,VA,0.282,72,118,0,71,29,24,4,5,75,4
Kyle Davies,GA,0.308,244,45,45,176,155,106,7,3,290,27
Kyle Dowdy,CA,0.295,22,13,1,17,18,18,1,1,26,4
Kyle Drabek,TX,0.302,171,37,30,113,102,109,2,0,181,23
Kyle Farnsworth,KS,0.247,213,240,0,183,84,70,9,6,197,17
Kyle Freeland,CO,0.273,462,88,83,359,213,172,16,9,477,59
Kyle Gibson,IN,0.278,1085,193,188,845,546,392,35,11,1142,127
Kyle Hendricks,CA,0.239,965,163,162,818,337,218,40,12,858,94
Kyle Keller,LA,0.139,10,10,0,11,4,8,2,0,5,3
Kyle Kendrick,TX,0.298,984,195,162,573,514,280,42,23,1074,137
Kyle Lobstein,AZ,0.268,127,34,17,74,72,49,2,4,138,12
Kyle Lohse,CA,0.283,1048,183,168,685,469,244,25,9,1073,125
Kyle McClellan,MO,0.226,243,134,17,150,104,80,12,6,224,34
Kyle McGowin,NY,0.267,23,12,2,26,23,9,1,0,28,9
Kyle McGrath,KY,0.209,19,17,0,16,6,6,0,1,14,2
Kyle McPherson,AL,0.247,26,10,3,21,8,7,2,0,24,3
Kyle Ryan,FL,0.289,187,159,7,128,79,73,5,8,182,16
Kyle Waldrop,TN,0.276,32,24,0,12,13,12,3,3,37,3
Kyle Weiland,NM,0.31,41,10,8,26,34,19,4,0,53,10
Kyle Wright,AL,0.243,25,11,4,23,22,19,1,1,28,6
Kyle Zimmer,CA,0.337,18,15,0,18,22,19,0,0,28,2
LaTroy Hawkins,IN,0.279,268,289,0,190,102,59,3,8,283,21
Lance Cormier,LA,0.31,75,69,0,37,42,39,0,3,90,11
Lance Lynn,IN,0.244,1339,247,223,1326,535,504,58,18,1248,121
Lance McCullers,FL,0.238,452,83,80,509,185,178,23,4,400,35
Lance Pendleton,TX,0.2,14,11,0,8,5,10,0,0,10,2
Leo Rosales,CA,0.362,16,16,0,12,13,9,0,0,25,2
Locke St. John,AL,0.241,6,7,0,5,4,4,0,0,7,0
Logan Allen,FL,0.33,25,8,4,14,19,13,2,0,33,4
Logan Darnell,TN,0.307,24,7,4,22,19,8,1,0,31,5
Logan Kensing,TX,0.214,15,19,0,13,10,7,0,0,12,2
Logan Ondrusek,TX,0.267,275,288,0,218,124,114,7,14,267,35
Logan Verrett,TX,0.26,148,57,16,114,77,61,8,8,145,25
Logan Webb,CA,0.278,39,8,8,37,23,14,1,0,44,5
Lou Trivino,PA,0.233,134,130,1,139,59,62,5,6,114,15
Louis Coleman,MS,0.231,272,260,0,271,108,124,15,15,231,36
Lucas Giolito,CA,0.235,415,74,72,398,213,171,23,3,354,66
Lucas Harrell,MO,0.31,452,101,71,310,243,229,12,12,491,42
Lucas Luetge,TX,0.242,86,110,0,72,43,45,3,8,85,8
Lucas Sims,GA,0.232,115,47,14,117,71,55,8,3,110,20
Luke Bard,NC,0.225,60,40,3,53,33,18,8,2,51,12
Luke Farrell,OH,0.173,54,38,3,58,25,26,1,2,41,11
Luke French,KS,0.262,87,16,13,37,47,29,4,2,88,13
Luke Gregerson,IL,0.243,538,574,0,528,189,146,15,21,441,51
Luke Hochevar,CO,0.242,643,228,80,519,328,202,29,9,625,80
Luke Jackson,FL,0.284,179,163,0,194,94,76,8,11,199,22
Luke Putkonen,IL,0.282,45,42,0,38,17,17,0,1,49,4
Luke Weaver,FL,0.267,296,64,55,307,145,97,9,4,310,39
Madison Bumgarner,NC,0.237,1832,285,285,1784,640,425,62,33,1614,190
Madison Younginer,GA,0.4,7,8,0,4,5,4,1,0,12,0
Manny Delcarmen,MA,0.264,52,57,0,38,29,32,1,2,45,8
Manny Parra,CA,0.265,294,254,16,303,151,137,8,7,308,32
Marc Rzepczynski,IL,0.265,365,490,12,348,163,174,24,29,365,29
Marco Gonzales,CO,0.278,439,83,75,353,202,120,14,2,467,49
Marcus Stroman,NY,0.256,847,146,140,695,355,244,17,3,853,78
Marcus Walden,CA,0.234,92,78,0,90,39,35,6,1,75,6
Mario Hollands,CA,0.253,47,50,0,35,23,21,1,2,45,3
Mark Buehrle,MO,0.279,1220,192,192,682,520,264,27,14,1329,125
Mark Hamburger,MN,0.179,8,5,0,6,4,3,0,0,5,0
Mark Hendrickson,WA,0.331,86,60,1,60,51,26,3,5,112,10
Mark Leiter,FL,0.315,112,47,11,106,70,43,9,5,125,25
Mark Lowe,TX,0.263,216,228,0,200,104,87,2,13,216,31
Mark Melancon,CO,0.238,560,568,0,522,174,129,17,14,498,33
Mark Rogers,ME,0.155,49,11,9,52,19,17,2,0,38,5
Mason Tobin,MT,0.278,5,4,0,0,4,5,1,0,5,1
Mat Latos,VA,0.261,1095,185,179,969,438,329,22,25,995,107
Matt Albers,TX,0.248,514,497,1,414,225,199,24,20,484,61
Matt Andriese,CA,0.275,426,167,49,391,218,123,12,12,446,64
Matt Barnes,CT,0.251,312,301,2,407,142,145,10,4,284,36
Matt Belisle,TX,0.269,553,537,1,459,235,137,19,30,576,44
Matt Boyd,WA,0.293,643,122,118,632,353,203,27,4,649,118
Matt Bush,CA,0.239,136,136,0,138,51,47,7,0,124,14
Matt Cain,AL,0.254,1210,204,194,965,511,363,41,22,1105,134
Matt Capps,GA,0.256,167,173,0,111,63,34,4,6,169,21
Matt Carasiti,CT,0.335,24,30,5,27,21,16,3,0,36,3
Matt Chico,CA,0.286,5,1,1,3,2,0,1,0,6,0
Matt Daley,NY,0.237,49,55,0,43,26,18,5,2,49,7
Matt Dermody,IA,0.264,22,23,0,15,11,5,2,1,23,6
Matt Festa,NY,0.296,30,28,1,25,16,14,3,1,33,5
Matt Fox,OH,0.211,5,1,1,0,2,1,0,0,4,0
Matt Garza,CA,0.257,1186,202,198,958,546,388,29,21,1176,140
Matt Grace,CA,0.295,172,173,2,128,84,49,8,8,192,19
Matt Guerrier,OH,0.237,221,236,0,143,92,81,6,12,196,18
Matt Hall,MO,0.371,31,21,0,32,33,18,2,1,47,5
Matt Harrison,NC,0.283,519,109,77,332,219,180,5,6,523,51
Matt Harvey,CT,0.259,824,145,140,762,371,232,28,9,782,99
Matt Koch,IA,0.248,124,35,16,69,65,30,13,1,126,28
Matt Langwell,TX,0.24,13,13,0,12,8,7,1,0,13,2
Matt Lindstrom,ID,0.278,247,278,0,183,98,83,9,8,276,15
Matt Magill,CA,0.255,133,96,6,146,67,71,6,4,136,24
Matt Maloney,OH,0.337,49,24,4,31,36,10,3,1,73,11
Matt Marksberry,OH,0.247,23,31,0,21,13,16,1,2,22,2
Matt Moore,FL,0.242,893,181,151,806,448,369,33,12,885,114
Matt Palmer,TN,0.294,48,17,4,24,27,24,2,1,57,1
Matt Purke,TX,0.278,18,12,0,15,11,12,0,1,20,0
Matt Reynolds,TN,0.25,171,221,0,162,73,57,4,14,169,31
Matt Shoemaker,MI,0.22,572,106,98,514,243,138,21,3,543,77
Matt Stites,MO,0.314,41,48,0,32,33,21,1,1,47,7
Matt Strahm,ND,0.214,231,132,24,254,98,76,14,8,203,34
Matt Thornton,MI,0.256,320,399,0,287,111,98,14,20,299,18
Matt Wisler,OH,0.272,387,129,57,304,225,125,10,7,418,65
Matthew Bowman,MD,0.25,180,183,0,149,81,62,7,10,167,14
Max Fried,CA,0.26,224,56,39,239,96,79,11,4,230,27
Max Scherzer,MO,0.22,2059,319,319,2452,716,534,70,17,1669,229
Merrill Kelly,TX,0.26,183,32,32,158,90,57,2,4,184,29
Micah Owings,GA,0.233,105,61,4,86,48,53,6,0,92,12
Michael Blazek,NV,0.268,126,113,1,104,64,64,4,4,126,20
Michael Bowden,IL,0.258,108,92,0,82,47,46,4,3,101,12
Michael Brady,CA,0.27,31,16,0,24,20,6,5,2,33,7
Michael Crotta,FL,0.392,10,15,0,7,11,5,0,0,20,2
Michael Fulmer,OK,0.243,455,75,75,356,193,128,22,4,414,48
Michael Kirkman,FL,0.244,105,94,0,103,59,55,6,8,100,12
Michael Kohn,SC,0.215,109,126,0,107,45,73,6,5,84,14
Michael Kopech,TX,0.328,14,4,4,15,8,2,5,0,20,4
Michael Lorenzen,CA,0.248,410,250,24,350,180,166,21,14,396,47
Michael Mariot,CA,0.26,46,42,0,44,32,26,0,2,49,7
Michael Roth,SC,0.32,32,22,1,26,28,15,4,2,40,2
Michael Schwimer,VA,0.261,48,47,0,52,25,23,3,3,45,5
Michael Stutes,LA,0.237,84,79,0,72,38,40,3,3,70,8
Michael Tonkin,CA,0.259,145,141,0,149,72,54,7,2,155,25
Michael Wacha,IA,0.251,865,165,151,759,377,301,20,17,849,97
Michael Wuertz,MN,0.26,72,87,0,72,44,47,1,9,72,11
Mickey Storey,FL,0.237,30,26,0,34,13,10,1,0,27,2
Mike Adams,TX,0.215,234,256,0,236,61,73,4,6,187,17
Mike Bolsinger,IL,0.29,229,48,41,210,126,98,6,5,251,34
Mike Broadway,KY,0.335,22,25,0,17,17,8,1,1,29,3
Mike Clevinger,FL,0.222,500,97,84,563,178,193,9,2,402,52
Mike Dunn,NM,0.248,430,551,0,468,191,219,11,18,386,46
Mike Ekstrom,OR,0.271,31,30,0,19,17,11,2,1,33,1
Mike Fiers,FL,0.246,1077,203,186,951,483,317,45,7,1037,171
Mike Foltynewicz,IL,0.265,681,137,117,652,324,235,28,9,668,98
Mike Gonzalez,TX,0.238,162,207,0,181,75,76,4,7,158,20
Mike Hauschild,OH,0.315,16,6,1,12,14,6,3,0,21,5
Mike Kickham,MO,0.351,28,12,3,29,32,10,0,2,46,8
Mike Leake,CA,0.272,1825,301,296,1231,824,403,68,29,1940,238
Mike Lincoln,CA,0.309,19,19,0,12,16,10,2,0,25,1
Mike MacDougal,NV,0.299,80,93,0,59,33,47,4,5,86,4
Mike Mayers,OH,0.366,75,70,1,67,57,29,3,3,96,13
Mike McClendon,TX,0.271,48,35,0,35,21,15,4,0,50,4
Mike Minor,TN,0.254,1092,236,170,986,475,315,30,21,1024,142
Mike Montgomery,CA,0.261,534,180,69,411,228,203,33,12,518,57
Mike Morin,MN,0.272,218,235,0,186,113,58,11,10,214,21
Mike O'Connor,TX,0.2,6,9,0,8,2,3,1,0,5,0
Mike Pelfrey,OH,0.297,994,193,176,563,523,361,49,17,1155,102
Mike Shawaryn,NJ,0.31,20,14,0,29,22,13,5,0,26,5
Mike Wright,SC,0.302,256,110,23,208,172,99,26,5,304,44
Mike Zagurski,NE,0.326,50,59,0,50,41,32,4,0,55,7
Miles Mikolas,FL,0.263,473,99,74,351,202,94,25,7,475,55
Mitch Atkins,NC,0.349,20,8,3,17,17,9,2,0,33,7
Mitch Harris,FL,0.278,27,26,0,15,11,13,0,0,30,4
Mitch Keller,IA,0.348,48,11,11,65,38,16,1,0,72,6
Mitch Stetter,IN,0.296,7,16,0,7,4,1,1,0,8,2
Mitch Talbot,UT,0.31,222,40,40,124,125,97,11,4,259,23
Mitchell Boggs,GA,0.257,222,217,0,174,90,89,13,11,206,19
Montana DuRapau,FL,0.342,17,14,2,22,18,9,2,0,27,4
Mychal Givens,FL,0.207,321,284,0,387,122,123,17,8,246,34
Myles Jaye,GA,0.321,12,5,2,4,17,10,3,0,18,2
Nate Jones,KY,0.228,289,282,0,318,97,107,10,9,243,28
Nate Karns,PA,0.259,315,67,56,326,151,127,14,3,299,47
Nate Robertson,KS,0.283,100,19,18,61,61,40,6,1,110,11
Nathan Adcock,KY,0.266,122,56,5,80,57,56,7,5,126,14
Nathan Eovaldi,TX,0.264,914,179,160,710,438,294,23,14,959,96
Neal Cotts,IL,0.235,185,199,0,186,63,63,7,6,160,20
Neil Ramirez,VA,0.247,174,183,1,208,87,95,6,3,158,31
Neil Wagner,MN,0.283,53,52,0,43,29,20,3,1,57,7
Nelson Figueroa,NY,0.274,122,39,16,90,62,50,2,4,129,13
Nick Anderson,MN,0.199,64,68,0,110,24,18,2,4,52,8
Nick Blackburn,OK,0.316,407,73,71,186,252,120,9,6,520,67
Nick Burdi,IL,0.297,8,11,0,17,9,3,0,0,11,1
Nick Christiani,NJ,0.24,13,10,0,8,8,6,0,3,12,2
Nick Gardewine,IL,0.318,13,15,0,7,7,7,1,0,17,1
Nick Goody,FL,0.245,139,141,0,171,60,62,6,5,120,25
Nick Greenwood,CT,0.259,36,19,1,17,19,5,1,1,36,5
Nick Hagadone,ID,0.218,117,143,0,122,62,60,1,4,102,14
Nick Kingham,TX,0.307,131,43,19,115,89,51,5,4,157,29
Nick Margevicius,OH,0.307,57,17,12,42,43,19,3,1,73,12
Nick Maronde,KY,0.297,17,33,0,19,14,18,1,1,22,1
Nick Martinez,FL,0.28,414,88,68,237,220,148,23,4,454,68
Nick Masset,FL,0.285,215,236,0,201,100,97,9,12,226,18
Nick Ramirez,CA,0.247,79,46,0,74,36,35,1,4,76,11
Nick Rumbelow,TX,0.265,32,30,0,31,19,11,1,2,35,8
Nick Tepesch,MO,0.281,233,45,42,139,119,78,17,6,245,32
Nick Tropeano,NY,0.268,215,42,39,193,109,87,7,4,215,38
Nick Vincent,CA,0.236,374,384,2,379,139,94,13,22,333,37
Nick Wittgren,CA,0.243,183,173,0,176,69,53,2,7,172,22
Nik Turley,CA,0.395,17,10,3,13,22,8,2,1,30,5
Noah Syndergaard,TX,0.244,714,119,118,775,263,166,19,9,665,63
Noe Ramirez,CA,0.231,184,161,8,212,89,69,15,5,166,31
Oliver Drake,MA,0.246,181,176,0,212,78,73,1,4,161,22
P. J. Walters,AL,0.293,130,27,23,86,85,50,4,1,154,22
Paco Rodriguez,FL,0.203,84,124,0,91,24,30,2,5,55,6
Parker Bridwell,TX,0.345,127,26,21,76,62,32,4,0,129,24
Parker Markel,CA,0.239,17,15,0,21,11,13,2,1,16,3
Pat Dean,CT,0.321,67,19,9,50,47,23,0,1,88,13
Pat Light,NJ,0.259,14,15,0,14,14,15,0,2,15,2
Pat McCoy,AZ,0.344,14,14,0,11,6,13,0,3,21,0
Pat Misch,IL,0.314,44,18,6,28,24,8,2,1,54,5
Pat Neshek,WI,0.22,364,423,0,329,114,96,7,15,296,42
Pat Venditte,NE,0.246,63,56,0,51,32,26,4,2,57,9
Patrick Corbin,NY,0.257,1146,205,187,1135,484,341,31,18,1113,131
Patrick Sandoval,CA,0.24,39,10,9,42,22,19,1,0,35,6
Patrick Schuster,FL,0.321,6,5,0,6,8,6,0,0,9,0
Paul Blackburn,CA,0.315,96,20,17,49,56,26,4,0,110,10
Paul Clemens,SC,0.276,168,66,19,118,92,70,7,2,182,35
Paul Fry,MI,0.242,94,101,0,91,48,44,10,1,87,8
Paul Maholm,MS,0.273,758,146,123,478,361,240,41,17,817,71
Paul Sewald,NV,0.252,140,120,0,149,81,47,5,4,138,19
Pedro Payano,NY,0.302,22,6,4,17,14,15,1,0,26,3
Pedro Villarreal,TX,0.317,69,43,1,45,34,22,4,3,81,11
Perci Garner,OH,0.308,9,8,0,12,5,5,2,1,12,0
Peter Fairbanks,MO,0.272,20,21,0,28,16,10,0,0,25,5
Peter Lambert,CA,0.321,89,19,19,57,72,36,6,3,119,18
Phil Coke,CA,0.3,338,318,15,254,164,132,12,24,389,22
Phil Dumatrait,CA,0.276,41,45,0,29,18,25,1,5,45,7
Phil Hughes,CA,0.289,1094,218,183,863,558,241,24,11,1209,172
Phil Klein,OH,0.271,54,40,4,54,34,29,3,6,57,9
Phil Maton,KY,0.234,126,121,0,134,68,49,5,1,129,20
Philip Humber,TX,0.275,340,79,50,253,199,112,12,6,361,47
Phillip Diehl,OH,0.313,7,10,0,8,6,2,1,0,10,1
Pierce Johnson,CO,0.236,43,37,0,36,27,22,0,1,38,5
Preston Claiborne,TX,0.273,71,62,0,58,30,24,2,7,75,8
Preston Guilmet,CA,0.274,28,23,0,23,23,11,0,1,32,7
R. A. Dickey,TN,0.247,1627,256,252,1206,663,486,73,13,1514,195
R. J. Alaniz,TX,0.195,11,8,0,7,7,4,0,0,8,0
R. J. Alvarez,FL,0.217,28,31,0,32,23,18,1,2,30,7
Rafael Martin,CA,0.245,12,13,0,25,7,5,1,0,12,4
Randy Choate,TX,0.219,204,415,0,191,78,77,23,15,165,11
Randy Dobnak,PA,0.245,28,9,5,23,5,5,3,0,27,1
Randy Flores,CA,0.224,27,47,0,18,9,13,1,1,22,4
Randy Wells,IL,0.285,357,67,59,240,184,134,10,10,385,43
Randy Williams,TX,0.325,33,34,0,28,21,26,3,6,47,2
Randy Wolf,CA,0.295,643,111,104,427,325,226,30,9,702,84
Ray Black,PA,0.204,37,41,0,46,24,18,2,0,27,8
Reed Garrett,VA,0.381,15,13,0,10,14,13,1,0,24,3
Reggie McClain,GA,0.268,21,14,2,11,14,13,0,0,22,2
Rex Brothers,TN,0.243,263,313,0,311,111,152,4,14,244,24
Rich Hill,MA,0.206,534,198,86,646,183,192,35,14,410,57
Richard Bleier,FL,0.268,173,164,1,84,59,29,10,6,183,12
Richard Lovelady,GA,0.353,20,25,0,17,17,8,1,2,30,2
Rick Porcello,NJ,0.275,1864,312,308,1418,913,422,79,17,2020,232
Ricky Nolasco,CA,0.28,1327,225,223,1022,682,324,37,25,1482,165
Ricky Romero,CA,0.274,623,100,98,481,285,275,33,6,574,64
Rico Garcia,HI,0.36,6,2,1,2,7,5,0,0,9,3
Rob Delaney,NJ,0.235,5,4,0,3,6,7,0,1,4,0
Rob Rasmussen,CA,0.284,25,29,0,29,21,15,2,0,33,3
Rob Scahill,IL,0.263,147,124,0,99,64,59,15,12,157,16
Rob Wooten,NC,0.264,67,71,0,53,38,22,3,2,74,3
Robbie Erlin,CA,0.267,311,106,38,249,159,62,3,1,336,34
Robbie Ray,TN,0.254,788,149,146,974,361,356,29,18,712,110
Robbie Ross,KY,0.269,329,266,12,274,144,120,28,10,339,25
Robbie Weinhardt,IL,0.328,29,28,0,21,20,8,3,2,40,2
Robby Scott,FL,0.265,54,84,0,53,25,27,8,3,46,10
Robert Carson,MS,0.265,32,31,0,13,25,11,3,0,34,11
Robert Coello,NJ,0.255,28,28,0,39,19,17,1,0,28,3
Robert Dugger,AZ,0.254,34,7,7,25,22,17,5,1,33,6
Robert Gsellman,CA,0.262,306,153,29,254,152,108,20,13,320,33
Robert Manuel,TX,0.213,12,10,0,5,6,7,0,1,10,5
Robert Stephenson,CA,0.264,196,94,22,209,108,108,6,11,182,32
Robert Stock,WA,0.273,49,42,0,53,23,21,3,1,51,3
Robert Whalen,PA,0.238,31,7,6,27,23,14,5,0,27,5
Rommie Lewis,WA,0.357,23,20,0,20,19,10,2,0,32,5
Ron Mahay,IL,0.252,34,41,0,25,13,8,0,0,33,5
Rookie Davis,NC,0.333,34,12,7,30,31,22,1,0,50,10
Ross Detwiler,MO,0.307,570,185,81,353,289,201,29,13,638,72
Ross Ohlendorf,TX,0.281,338,144,46,277,190,136,20,8,364,54
Ross Stripling,PA,0.249,386,136,52,377,151,91,4,9,372,49
Ross Wolf,IL,0.279,59,33,3,30,28,21,2,2,70,6
Roy Halladay,CO,0.246,701,103,103,622,254,137,25,6,649,64
Roy Oswalt,MS,0.275,441,82,70,379,191,108,14,4,443,43
Rudy Owens,AZ,0.36,5,1,1,1,5,2,1,0,9,1
Russ Ortiz,CA,0.345,7,6,0,6,8,5,0,1,10,0
Ryan Borucki,IL,0.349,103,19,19,73,50,39,2,3,111,9
Ryan Brasier,TX,0.214,97,103,0,97,38,32,3,1,77,12
Ryan Buchter,PA,0.2,212,256,0,234,68,95,8,7,152,26
Ryan Burr,CO,0.28,28,24,1,26,18,14,1,1,29,6
Ryan Carpenter,AZ,0.343,62,15,14,40,60,17,5,0,95,20
Ryan Cook,CA,0.231,214,227,0,227,71,89,13,7,162,13
Ryan Dull,NC,0.26,167,167,0,163,76,48,5,6,140,28
Ryan Eades,LA,0.241,7,6,0,5,3,4,1,0,7,2
Ryan Feierabend,OH,0.384,12,8,1,8,12,3,0,1,23,2
Ryan Franklin,AR,0.299,92,80,0,59,51,17,5,3,101,16
Ryan Garton,FL,0.237,60,57,0,49,31,17,0,2,62,9
Ryan Helsley,OK,0.245,36,24,0,32,12,12,0,2,34,5
Ryan Kelly,TN,0.313,16,17,0,10,13,6,0,0,21,5
Ryan Madson,CA,0.233,350,366,0,354,116,88,17,19,302,27
Ryan Mattheus,CA,0.271,196,202,0,114,82,70,8,10,209,13
Ryan Meisinger,MD,0.24,21,18,1,21,15,10,0,0,18,6
Ryan Merritt,TX,0.239,31,9,5,13,6,4,0,0,32,0
Ryan O'Rourke,MA,0.204,47,54,0,48,26,25,1,2,34,6
Ryan Perry,CA,0.295,107,103,0,72,56,46,7,4,106,9
Ryan Pressly,TX,0.232,391,362,0,386,148,123,9,12,353,38
Ryan Reid,ME,0.231,11,7,0,7,2,3,2,1,9,1
Ryan Sherriff,CA,0.285,19,18,0,18,9,6,2,0,21,3
Ryan Tepera,TX,0.224,213,216,1,203,87,77,18,8,172,30
Ryan Tucker,CA,0.286,5,5,0,4,4,4,0,0,6,1
Ryan Vogelsong,NC,0.26,872,169,146,684,387,317,35,21,857,93
Ryan Webb,FL,0.278,365,347,0,252,139,113,12,28,377,18
Ryan Weber,FL,0.27,109,41,10,72,63,21,8,2,124,15
Ryan Yarbrough,FL,0.237,288,66,20,245,129,70,17,8,261,33
Ryne Harper,TN,0.257,54,61,0,50,23,10,1,0,54,7
Ryne Stanek,MO,0.234,162,143,56,199,69,78,1,6,132,25
Sal Romano,NY,0.29,248,67,41,194,143,98,9,9,268,36
Sam Coonrod,MO,0.202,27,33,0,20,11,15,4,1,19,3
Sam Demel,TX,0.293,62,71,0,48,34,25,3,3,73,9
Sam Dyson,FL,0.268,384,374,1,309,143,127,20,14,361,31
Sam Freeman,TX,0.244,225,263,0,226,91,127,13,4,192,16
Sam Gaviglio,OR,0.264,292,94,37,242,158,86,11,2,301,55
Sam Howard,GA,0.276,19,20,0,23,14,10,3,0,21,5
Sam LeCure,MO,0.237,319,250,10,300,125,124,14,9,281,31
Sam Moll,TN,0.406,6,11,0,7,8,3,0,0,13,2
Sam Selman,TX,0.171,10,10,0,10,5,6,2,0,6,2
Sam Tuivailala,CA,0.249,124,122,2,118,43,48,8,6,114,10
Sammy Solis,MN,0.25,127,141,0,136,64,56,6,5,121,14
Scot Shields,FL,0.254,46,43,1,39,27,34,2,1,45,6
Scott Alexander,CA,0.258,177,180,1,143,63,72,4,4,165,10
Scott Atchison,TX,0.254,277,245,1,183,109,64,4,9,259,25
Scott Baker,LA,0.244,410,82,63,340,194,96,12,5,414,60
Scott Barlow,CT,0.249,85,67,0,107,39,40,3,3,80,8
Scott Barnes,MA,0.239,27,22,0,26,16,10,5,0,25,4
Scott Carroll,MO,0.285,165,44,19,91,83,58,15,3,187,15
Scott Copeland,TX,0.369,15,5,3,6,11,2,0,0,24,1
Scott Downs,KY,0.247,239,307,0,177,75,85,6,12,210,12
Scott Elbert,MO,0.226,65,90,0,63,17,27,2,5,54,4
Scott Feldman,HI,0.27,953,207,148,642,463,274,37,16,1007,114
Scott Kazmir,TX,0.251,816,146,146,708,377,287,35,7,786,101
Scott Linebrink,TX,0.272,111,116,0,94,50,38,7,6,117,17
Scott Maine,FL,0.307,46,50,0,48,29,25,5,1,50,8
Scott McGough,PA,0.387,6,6,0,4,7,4,0,0,12,0
Scott Oberg,MA,0.246,256,259,0,234,110,101,12,8,238,26
Scott Olsen,MI,0.289,81,17,15,53,50,27,2,4,93,10
Scott Proctor,FL,0.289,45,45,0,35,36,35,1,6,54,12
Scott Rice,CA,0.262,64,105,0,54,30,39,3,5,57,2
Scott Schoeneweis,NJ,0.333,13,15,0,13,12,10,0,1,19,2
Sean Burnett,FL,0.248,189,235,0,162,57,58,7,11,178,15
Sean Doolittle,SD,0.204,386,390,0,457,130,76,6,9,294,38
Sean Gallagher,MA,0.277,57,46,0,43,37,41,3,2,62,7
Sean Gilmartin,CA,0.255,101,76,2,80,40,36,5,6,94,10
Sean Green,KY,0.24,20,25,0,19,11,14,4,4,21,1
Sean Manaea,IN,0.227,491,86,85,402,207,131,24,3,459,62
Sean Marshall,VA,0.23,234,262,0,267,72,72,10,11,206,8
Sean Newcomb,MA,0.241,332,105,53,333,143,167,10,8,298,36
Sean Nolin,NY,0.302,29,6,6,15,17,12,0,0,35,4
Sean O'Sullivan,CA,0.292,270,59,46,129,182,99,12,9,338,47
Sean Poppen,VA,0.323,8,4,0,9,7,5,0,0,10,1
Sean West,TX,0.375,9,2,2,8,8,4,0,1,15,2
Sean White,WA,0.336,34,38,0,15,20,11,0,4,45,4
Sergio Mitre,CA,0.279,92,53,3,45,39,30,4,0,82,10
Sergio Romo,CA,0.214,551,634,5,618,179,126,18,17,442,62
Sergio Santos,CA,0.243,178,192,0,224,79,88,6,13,152,17
Seth Lugo,LA,0.228,346,151,31,337,126,90,13,12,300,37
Seth Maness,NC,0.301,245,252,0,156,88,47,4,16,269,23
Shae Simmons,MO,0.201,34,42,0,34,14,15,0,1,25,2
Shane Bieber,CA,0.258,328,54,52,377,136,63,8,1,316,44
Shane Carle,CA,0.259,72,59,0,49,30,36,4,9,61,5
Shane Greene,FL,0.246,413,285,33,392,208,148,26,11,406,50
Shane Loux,SD,0.314,25,19,0,9,14,9,0,1,32,3
Shaun Anderson,FL,0.291,96,28,16,70,58,38,2,3,111,13
Shaun Marcum,MO,0.25,632,106,103,522,276,173,15,13,589,78
Shawn Armstrong,NC,0.221,110,104,0,113,50,46,7,3,104,15
